127.0.0.1, 2021-04-03 12:41:00, GET, /admin/static/_2.21.1/images/folder_locked.png, HTTP/1.1, 200, 0.005528
127.0.0.1, 2021-04-03 12:41:00, GET, /admin/static/_2.21.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.006999
127.0.0.1, 2021-04-03 12:41:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.301640
127.0.0.1, 2021-04-03 12:41:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-04-03 12:41:22, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.383023
127.0.0.1, 2021-04-03 12:41:22, GET, /admin/static/_2.21.1/images/search.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2021-04-03 12:41:22, GET, /admin/static/_2.21.1/images/delete_icon.png, HTTP/1.1, 200, 0.006185
127.0.0.1, 2021-04-03 12:41:22, GET, /admin/static/_2.21.1/images/test_icon.png, HTTP/1.1, 200, 0.006090
127.0.0.1, 2021-04-03 12:41:22, GET, /admin/static/_2.21.1/images/help.png, HTTP/1.1, 200, 0.007214
127.0.0.1, 2021-04-03 12:41:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-04-03 12:41:43, POST, /admin/default/create_file, HTTP/1.1, 303, 0.036458
127.0.0.1, 2021-04-03 12:41:43, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.047065
127.0.0.1, 2021-04-03 12:41:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.061380
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.010619
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.008618
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.014066
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.014572
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.010122
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.018231
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.010164
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.006809
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.009274
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.010231
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.010999
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.013998
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.012633
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.014263
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.013469
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.014405
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.053258
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.018758
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.013660
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.015154
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.013429
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.009291
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.015999
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.012388
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.014944
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.015185
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.016397
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.014847
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.012452
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.015115
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.012540
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.017250
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.015138
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.018351
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.015999
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.037394
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.004995
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.006001
127.0.0.1, 2021-04-03 12:41:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.027886
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.057737
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.008032
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.124303
127.0.0.1, 2021-04-03 12:41:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.139324
127.0.0.1, 2021-04-03 12:41:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.141217
127.0.0.1, 2021-04-03 12:41:52, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.290372
127.0.0.1, 2021-04-03 12:42:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088031
127.0.0.1, 2021-04-03 12:42:52, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.718679
127.0.0.1, 2021-04-03 12:43:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094312
127.0.0.1, 2021-04-03 12:43:52, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.720168
127.0.0.1, 2021-04-03 12:44:30, POST, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.023146
127.0.0.1, 2021-04-03 12:44:38, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.049464
127.0.0.1, 2021-04-03 12:44:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
